verse_index,verse_id,english,chapter_number,verse_number,turkish,french,german,bahasa,persian,tamil,swedish,russian,bengali,spanish,urdu
1404,10:34,Reflect on Your Idols,10,34,Putlarınızın Üzerinde Tefekkür Edin,Réfléchissez à vos idoles,Denken Sie über Ihre Idole nach,Renungkan tentang idola anda,به بت‌های خود بیندیشید,உங்களுடைய போலித் தெய்வங்களைப் பற்றிச் சிந்தித்துப் பாருங்கள்,Reflektera över dina idoler,Подумайте о своих кумирах,আপনার আইডলদের নিয়ে প্রতিফলন করুন,Reflexiona sobre tus ídolos,اپنے معبودوں پر غور کریں
1407,10:37,Only God Can Author the Quran,10,37,Kuran'ı Yalnızca Tanrı Yazabilir,Seul Dieu peut être l'auteur du Coran,Nur Gott kann den Koran verfassen,Hanya Tuhan yang dapat menurunkan Al-Quran.,تنها خدا می‌تواند قرآن را پدید آورده باشد.,கடவுள் மட்டுமே குர்ஆனை இயற்றியிருக்க முடியும்,Endast Gud kan skriva Koranen,Автором Корана может быть только Бог,কেবল ঈশ্বরই কোরআন রচনা করতে পারেন,Sólo Dios puede ser el autor del Corán,صرف خدا ہی قرآن کا مصنف ہو سکتا ہے۔
1413,10:43,Humans Freely Choose Their Paths,10,43,İnsanlar Kendi Yollarını Özgürce Seçer,L'homme choisit librement sa voie,Der Mensch wählt seinen Weg aus freien Stücken,Manusia memilih jalan mereka dengan bebas,انسان‌ها آزادانه مسیرهای خود را انتخاب می‌کنند,மானிடர்கள் தங்கள் பாதைகளைச் சுதந்திரமாகத் தேர்ந்தெடுக்கின்றனர்,Människor väljer fritt sina vägar,Люди свободно выбирают свой путь,মানুষরা স্বাধীনভাবে তাদের পথ বেছে নেয়।,El ser humano elige libremente su camino,انسان آزادانہ طور پر اپنے راستے منتخب کرتے ہیں۔
1419,10:49,The Messenger Possesses No Power,10,49,Elçinin Hiçbir Gücü Yoktur,Le messager ne possède aucun pouvoir,Der Bote hat keine Macht,Pembawa mesej tidak mempunyai kuasa.,پیامبر هیچ قدرتی ندارد,தூதர் எந்தச் சக்தியும் கொண்டவரல்லர்,Budbäraren besitter ingen makt,Посланник не обладает силой,বার্তাবাহকের কোনো ক্ষমতা নেই।,El mensajero no tiene poder,رسول کے پاس کوئی طاقت نہیں ہے
1424,10:54,What Price Faith,10,54,İmanın Bedeli Nedir,Quel est le prix de la foi ?,Welchen Preis hat der Glaube?,Berapa Harga Iman,ایمان به چه قیمتی؟,விசுவாசத்தின் விலை என்ன?,Vad kostar tron?,Какова цена веры,বিশ্বাসের মূল্য কী?,A qué precio la fe,ایمان کی قیمت کیا؟
1428,10:58,Joy for the Believers,10,58,İmanlılar için Sevinç,La joie des croyants,Freude für die Gläubigen,Kegembiraan bagi orang-orang yang beriman,شادمانی برای مؤمنان,நம்பிக்கையாளர்களுக்கு ஆனந்தம்,Glädje för de troende,Радость для верующих,বিশ্বাসীদের জন্য আনন্দ,Alegría para los creyentes,مومنوں کے لیے خوشی
1429,10:59,Human-made Dietary Prohibitions,10,59,İnsan Yapımı Beslenme Yasakları,Interdictions alimentaires d'origine humaine,Menschengemachte diätetische Verbote,Larangan Makanan Buatan Manusia,ممنوعیت‌های غذایی ساخت بشر,மனிதர்களால் செய்யப்பட்ட உணவுத் தடைகள்,Kostförbud orsakade av människan,"Диетические запреты, созданные человеком",মানুষ-নির্মিত খাদ্যগত নিষেধাজ্ঞা,Prohibiciones dietéticas de origen humano,انسانی ساختہ غذائی پابندیاں
1431,10:61,Knowing God,10,61,Tanrı'yı Bilmek,Connaître Dieu,Gott kennenlernen,Mengenal Tuhan,شناختن خدا,கடவுளை அறிந்து கொள்ளுதல்,Att känna Gud,Познание Бога,ঈশ্বরকে জানা,Conocer a Dios,خدا کو جاننا
1432,10:62,Happiness: Now and Forever*,10,62,Mutluluk: Şimdi ve Sonsuza Dek,Le bonheur : Aujourd'hui et pour toujours*,Glücklich sein: Jetzt und für immer*,Kebahagiaan: Sekarang dan Selamanya*,شادی: اکنون و برای همیشه*,மகிழ்ச்சி: இப்பொழுதும் எப்பொழுதும்*,Lycka: Nu och för alltid*,Счастье: Сейчас и навсегда*,সুখ: এখন এবং চিরতরে*,La felicidad: Ahora y siempre*,خوشی: اب اور ہمیشہ کے لیے*
1438,10:68,The Gross Blasphemy,10,68,Büyük Küfür,Le grossier blasphème,Die grobe Blasphemie,Kekufuran Terbesar,کفر آشکار,மாபெரும் இறைநிந்தனை,Den grova hädelsen,Грубое богохульство,গুরুতর ধর্মনিন্দা,La burda blasfemia,سنگین توہین
1377,10:7,Preoccupation With This World,10,7,Zihnin Sürekli Bu Dünya İle Meşgul Olması,Préoccupation pour ce monde,Die Beschäftigung mit dieser Welt,Terlalu Terpikat dengan Dunia Ini,مشغله با این دنیا,இவ்வுலகுடன் மூழ்கி விடுதல்,Upptagenhet med denna värld,Озабоченность этим миром,এই জগতের প্রতি আসক্তি,Preocupación por este mundo,اس دنیا میں مشغولیت
1441,10:71,Noah,10,71,Nuh,Noah,Noah,Nuh,نوح,நோவா,Noah,Ной,নূহ,Noah,نوح
1444,10:74,Humans Insist on Their Original Sin,10,74,İnsanlar İlk Günahlarında Israr Ediyor,Les humains insistent sur leur péché originel,Der Mensch beharrt auf seiner Erbsünde,Manusia bertegas tentang dosa asal mereka,انسان‌ها بر گناه نخستین خود اصرار می‌ورزند,மானிடர்கள் தங்கள் ஆதி பாவத்தில் வலிந்திருக்கின்றனர்,Människor insisterar på sin arvsynd,Люди настаивают на своем первородном грехе,মানুষ তাদের আদিপাপের ওপর অটল,Los humanos insisten en su pecado original,انسان اپنی اصلیت کے گناہ پر اصرار کرتے ہیں۔
1445,10:75,Moses and Aaron,10,75,Musa ve Harun,Moïse et Aaron,Mose und Aaron,Musa dan Harun,موسی و هارون,மோஸஸ் மற்றும் ஆரோன்,Mose och Aron,Моисей и Аарон,মোশি ও হারুন,Moisés y Aarón,موسیٰ اور ہارون
1449,10:79,The Truth Prevails,10,79,Gerçek Olan Üstün Gelir,La vérité l'emporte,Die Wahrheit setzt sich durch,Kebenaran Menang,حقیقت پیروز می‌شود,சத்தியம் மிகைத்து வெற்றி கொள்கின்றது,Sanningen segrar,Истина торжествует,সত্যই জয়ী হয়,La verdad prevalece,سچائی غالب رہتی ہے
1379,10:9,God Guides the Believers,10,9,Tanrı İmanlılara Rehberlik Eder,Dieu guide les croyants,Gott lenkt die Gläubigen,Tuhan membimbing orang-orang yang beriman,خداوند مؤمنان را هدایت می‌کند,நம்பிக்கையாளர்களைக் கடவுள் வழிநடத்துகின்றார்,Gud vägleder de troende,Бог направляет верующих,ঈশ্বর বিশ্বাসীদের পথপ্রদর্শন করেন,Dios guía a los creyentes,خدا مومنوں کی رہنمائی کرتا ہے
1462,10:92,Pharaoh's Body Preserved*,10,92,Firavun'un Bedeni Korundu,Le corps du pharaon préservé*,Der Leichnam des Pharao wird konserviert*.,Badan Firaun Terpelihara*,جسد فرعون مومیایی شده*,ஃபேரோவின் சடலம் பத்திரப்படுத்தப்படுகின்றது*,Faraos kropp bevarad*,Тело фараона сохранилось*,ফারাওয়ের দেহ সংরক্ষিত*,Preservación del cuerpo del faraón *,فرعون کی لاش محفوظ شدہ*
1464,10:94,The Messenger's Doubt,10,94,Elçinin Şüphesi,Le doute du messager,Der Zweifel des Boten,Keraguan Utusan,شک پیامبر,தூதரின் ஐயம்,Budbärarens tvivel,Сомнение посланника,বার্তাবাহকের সন্দেহ,La duda del mensajero,پیغامبر کا شک
1468,10:98,Believing Nations Prosper,10,98,İman Eden Uluslar Refaha Ererler,Les nations croyantes prospèrent,Der Glaube an den Wohlstand der Nationen,"Percaya, Bangsa Makmur",ملت‌های باایمان رونق می‌یابند,நம்பிக்கை கொள்ளும் தேசங்கள் வளமடையும்,Troende nationer blomstrar,Процветание верующих народов,বিশ্বাসী জাতিসমূহ সমৃদ্ধি লাভ করে,Creer que las naciones prosperan,یقین رکھنے والی قومیں خوشحال ہوتی ہیں
1580,11:100,Lessons to be Learned,11,100,Öğrenilecek Dersler,Leçons à tirer,"Lektionen, die man lernen kann",Pengajaran yang boleh dipelajari,درس‌هایی که باید آموخت,கற்றுக் கொள்ள வேண்டிய படிப்பினைகள்,Lärdomar som bör dras,"Уроки, которые необходимо извлечь",শিক্ষণীয় পাঠ,Lecciones para aprender,سیکھنے کے اسباق
1589,11:109,Following Our Parents Blindly A Great Human Tragedy,11,109,Atalarımızı Körü Körüne Takip Etmek Büyük Bir İnsan Trajedisi,Suivre aveuglément nos parents Une grande tragédie humaine,Unseren Eltern blindlings folgen Eine große menschliche Tragödie,Mengikuti Orang Tua Kita Secara Buta: Tragedi Manusiawi yang Hebat,پیروی کورکورانه‌ی ما از والدین‌مان؛ یک تراژدی بزرگ انسانی,நம் பெற்றோர்களைக் கண்மூடிப் பின்பற்றுதல் ஒரு மாபெரும் மானிட சோகம்,Att följa våra föräldrar blint En stor mänsklig tragedi,Слепое следование за родителями - великая человеческая трагедия,আমাদের পিতামাতাকে অন্ধভাবে অনুসরণ করা: একটি মহা মানবিক ট্র্যাজেডি,Seguir ciegamente a nuestros padres Una gran tragedia humana,اپنے والدین کی اندھا اندھا تقلید: ایک عظیم انسانی المیہ
1594,11:114,Three of the Five Prayers,11,114,Beş Namazın Üçü,Trois des cinq prières,Drei der fünf Gebete,Tiga daripada Lima Doa,سه از پنج نماز,ஐந்து தொழுகைகளில் மூன்று,Tre av de fem bönerna,Три из пяти молитв,পাঁচটি প্রার্থনার মধ্যে তিনটি,Tres de las cinco oraciones,پانچوں نمازوں میں سے تین
1598,11:118,Why Were We Created,11,118,Biz Niçin Yaratıldık,Pourquoi avons-nous été créés ?,Warum wurden wir geschaffen?,Mengapa Kita Dicipta,چرا ما آفریده شدیم؟,நாம் ஏன் படைக்கப்பட்டோம்.,Varför skapades vi?,Почему мы были созданы,আমরা কেন সৃষ্টি হয়েছিলাম,¿Por qué fuimos creados?,ہمیں کیوں پیدا کیا گیا؟
1492,11:12,God's Revelation is Heavy,11,12,Tanrı'nın Vahyi Ağırdır,La révélation de Dieu est lourde,Gottes Offenbarung ist schwer,Wahyu Tuhan itu berat,وحی خدا سنگین است,கடவுளின் வெளிப்பாடு கனமானது,Guds uppenbarelse är tung,Божье откровение тяжелое,ঈশ্বরের প্রকাশ ভারী,La Revelación de Dios es Pesada,الٰہی وحی بھاری ہے
1493,11:13,The Quran: Impossible to Imitate,11,13,Kuran: Taklit Edilmesi İmkânsız,Le Coran : Impossible à imiter,Der Koran: Unmöglich zu imitieren,Al-Quran: Mustahil Ditiru,قرآن: غیرقابل تقلید,குர்ஆன்: அதே மாதிரி செய்ய இயலாது.,Koranen: Omöjlig att imitera,Коран: Невозможно подражать,কুরআন: অনুকরণ করা অসম্ভব,El Corán: Imposible de imitar,قرآن: نقل کرنا ناممکن
1497,11:17,The Quran's Mathematical Code,11,17,Kuran'ın Matematiksel Kodu,Le code mathématique du Coran,Der mathematische Code des Korans,Kod Matematik Al-Quran,کد ریاضی قرآن,குர்ஆனின் கணிதக் குறியீடு,Koranens matematiska kod,Математический код Корана,কুরআনের গাণিতিক কোড,El código matemático del Corán,قرآن کا ریاضیاتی کوڈ
1482,11:2,The Quran: Messenger of God,11,2,Kuran: Tanrı'nın Elçisi,Le Coran : Le Messager de Dieu,Der Koran: Gesandter Gottes,Al-Quran: Utusan Tuhan,قرآن: پیام‌آور خدا,குர்ஆன்: கடவுளின் தூதர்,Koranen: Guds sändebud,Коран: Посланник Бога,কুরআন: ঈশ্বরের দূত,El Corán: Mensajero de Dios,قرآن: خدا کا پیغامبر
1500,11:20,The Disbelievers,11,20,İnkâr Edenler,Les mécréants,Die Ungläubigen,Orang-orang yang kafir,کافران,நம்பமறுப்போர்,De icke-troende,Неверующие,অবিশ্বাসীরা,Los incrédulos,کافر
1503,11:23,The Believers,11,23,İmanlılar,Les croyants,Die Gläubigen,Orang-orang yang beriman,باورمندان,நம்பிக்கையாளர்கள்,De troende,Верующие,বিশ্বাসীরা,Los creyentes,مومن
1505,11:25,Noah,11,25,Nuh,Noah,Noah,Nuh,نوح,நோவா,Noah,Ной,নূহ,Noah,نوح
1511,11:31,All Power Belongs to God,11,31,Tüm Güç Tanrı'ya Aittir,Tout pouvoir appartient à Dieu,Alle Macht geht von Gott aus,Segala kuasa milik Tuhan,تمام قدرت از آنِ خداست,சக்திகள் அனைத்தும் கடவுளுக்குரியது,All makt tillhör Gud,Вся власть принадлежит Богу,সমস্ত ক্ষমতা ঈশ্বরের,Todo el poder pertenece a Dios,تمام طاقت خدا کی ہے
1518,11:38,He Who Laughs Last Laughs Best,11,38,Son Gülen İyi Güler,Celui qui rit le dernier rit le mieux,"Wer zuletzt lacht, lacht am besten","Yang ketawa terakhir, ketawanya paling sedap.",خنده‌ی آخر، بهترین خنده است.,இறுதியாகச் சிரிப்பவனின் சிரிப்பே சிறந்தது,Den som skrattar sist skrattar bäst,"Тот, кто смеется последним, смеется лучше всех","যে শেষ হাসি হাসে, সে-ই সবচেয়ে ভালো হাসে।",El que ríe el último ríe mejor,جو آخر میں ہنستا ہے، وہ سب سے اچھا ہنستا ہے۔
1524,11:44,Where Did the Ark Land,11,44,Gemi Nereye İndi,Où l'arche a-t-elle atterri ?,Wo ist die Arche gelandet?,Di manakah Bahtera itu Berlabuh?,کشتی نوح کجا فرود آمد؟,படகு எங்கு கரை சேர்ந்தது,Var hamnade arken?,Где приземлился ковчег,নৌকাটি কোথায় অবতরণ করেছিল?,¿Dónde cayó el Arca?,کشتی نوح کہاں اتری؟
1526,11:46,The Myth of Intercession*,11,46,Şefaat Efsanesi,Le mythe de l'intercession*,Der Mythos der Fürbitte*,Mitos Perantaraan*,افسانه شفاعت*,சிபாரிசு எனும் கட்டுக் கதை*,Myten om förbön*,Миф о заступничестве*,শাফাআতের মিথকথা*,El mito de la intercesión*.,شفاعت کا افسانہ*
1530,11:50,Hûd: One and the Same Message,11,50,Hud: Bir ve Aynı Mesaj,Hûd : Un seul et même message,Hûd: Ein und dieselbe Botschaft,Hûd: Satu dan Mesej yang Sama,هود: یک پیام واحد,ஹூத்: அதே ஒரே தூதுச் செய்தி,Hûd: Ett och samma budskap,Хюд: Одно и то же послание,হুদ: এক ও অভিন্ন বার্তা,Hûd: Un mismo mensaje,ہود: ایک ہی پیغام
1486,11:6,Provisions Guaranteed,11,6,Rızıklar Garantilidir,Provisions garanties,Garantierte Rückstellungen,Peruntukan Dijamin,تدارکات تضمین‌شده,வாழ்வாதாரங்கள் உத்தரவாதமளிக்கப்படுகின்றன,Avsättningar Garanterade,"Положения, гарантированные",প্রাধান্য নিশ্চিত,Provisiones garantizadas,فراہمی کی ضمانت
1541,11:61,Sãleh: One and the Same Message,11,61,Salih: Bir ve Aynı Mesaj,Sãleh : Un seul et même message,Sãleh: Ein und dieselbe Botschaft,Sãleh: Satu dan Mesej yang Sama,ساله: یک پیام واحد,ஸாலிஹ்: அதே ஒரே தூதுச் செய்தி,Sãleh: Ett och samma budskap,Sãleh: Одно и то же послание,সালেহ: এক ও অভিন্ন বার্তা,Sãleh: Un mismo mensaje,صالح: ایک ہی پیغام
1543,11:63,The Disbelievers Always Losers,11,63,Kaybedenler Daima İnkârcılardır,Les incrédules toujours perdants,Die Ungläubigen sind immer Verlierer,Orang-orang yang kafir sentiasa kalah,کافران همیشه بازنده هستند,நம்பமறுப்போர் எப்பொழுதும் நஷ்டவாளிகளே,De icke-troende alltid förlorare,Неверующие всегда проигрывают,অবিশ্বাসীরা সর্বদা পরাজিত,Los incrédulos siempre pierden,کافر ہمیشہ ہارنے والے
1549,11:69,Abraham and Lot,11,69,İbrahim ve Lut,Abraham et Lot,Abraham und Lot,Abraham dan Lot,ابراهیم و لوط,ஆபிரஹாமும் லோத்தும்,Abraham och Lot,Авраам и Лот,আব্রাহাম এবং লোট,Abraham y Lot,ابراہیم اور لوط
1557,11:77,Homosexuality Condemned,11,77,Eşcinsellik Kınanmıştır,L'homosexualité condamnée,Verurteilung der Homosexualität,Homoseksual Dikenapui,محکومیت همجنس‌گرایی,ஓரினச் சேர்க்கை கண்டனம் செய்யப்படுகின்றது,Homosexualitet fördöms,Гомосексуальность осуждена,সমকামিতার নিন্দা,Condena de la homosexualidad,ہم جنس پرستی کی مذمت
1562,11:82,Sodom & Gomorrah Destroyed,11,82,Sodom & Gomore Yok Edildi,Destruction de Sodome et Gomorrhe,Sodom & Gomorrah vernichtet,Sodom dan Gomora Musnah,سدوم و عموره ویران شدند,ஸாடமும் கோமர்ராவும் நிலைகுலைகின்றது,Sodom & Gomorra förstörda,Содом и Гоморра разрушены,সদোম ও গোমোর্রা ধ্বংস,Sodoma y Gomorra destruidas,سدوم اور گomorrah تباہ ہوئے
1564,11:84,Shu'aib: One and the Same Message,11,84,Şuayb: Bir ve Aynı Mesaj,Shu'aib : Un seul et même message,Shu'aib: Ein und dieselbe Botschaft,Shu'aib: Satu dan Sama Pesan,شعیب: یک پیام واحد,ஷுஐப்: அதே ஒரே தூதுச்செய்தி,Shu'aib: Ett och samma budskap,Шу'айб: Одно и то же послание,শুআয়ব: একই বার্তা,Shu'aib: Un mismo mensaje,شعیب: ایک ہی پیغام
1576,11:96,Moses,11,96,Musa,Moïse,Moses,Musa,موسی,மோஸஸ்,Moses,Мозес,মোশে,Moisés,موسیٰ
6319,110:0,(Last Sura Revealed)*,110,0,(Son Sure İndi)*,(Dernière sourate révélée)*,(Letzte Offenbarte Sure)*,(Surah terakhir yang diturunkan),(آخرین سوره نازل‌شده),(Last Sura Revealed)*,(Sista suran avslöjad)*,(Последняя раскрытая сура)*.,(শেষ সূরা অবতীর্ণ),(Última sura revelada)*,(آخری سورت نازل شدہ)
1707,12:103,The Majority of People Do Not Believe,12,103,İnsanların Çoğu İman Etmezler,La majorité des gens ne croient pas,Die Mehrheit der Menschen ist nicht gläubig,Kebanyakan orang tidak percaya,اکثریت مردم باور ندارند,மனிதர்களில் பெரும்பாலோர் நம்பிக்கை கொள்வதில்லை,Majoriteten av människor tror inte på,Большинство людей не верят,অধিকাংশ মানুষ বিশ্বাস করে না,La mayoría de la gente no cree,زیادہ تر لوگ یقین نہیں رکھتے
1710,12:106,The Majority of Believers Destined for Hell,12,106,İmanlıların Çoğu Cehennemle Mukadderdir,La majorité des croyants voués à l'enfer,Die Mehrheit der Gläubigen ist für die Hölle bestimmt,Kebanyakan orang percaya yang ditakdirkan ke neraka,اکثریت مؤمنان محکوم به جهنم,நம்பிக்கை கொண்டவர்களில் பெரும்பாலோர் நரகத்திற்கென விதிக்கப்பட்டுள்ளனர்,Majoriteten av de troende ödesbestämda för helvetet,Большинство верующих обречены на ад,অধিকাংশ বিশ্বাসী যারা নরকের জন্য নির্ধারিত,La mayoría de los creyentes destinados al infierno,ایمان والوں کی اکثریت دوزخ کے لیے مقدر
1714,12:110,"Victory, Ultimately, Belongs to the Believers",12,110,Galibiyet Eninde Sonunda İmanlılara Aittir,"La victoire, en fin de compte, appartient aux croyants",Der Sieg gehört letztlich den Gläubigen,"Kemenangan, akhirnya, adalah milik orang-orang yang beriman.",پیروزی، در نهایت، از آنِ مؤمنان است.,"வெற்றியானது, இறுதியில், நம்பிக்கையாளர்களுக்கு உரியதாகின்றது",Segern tillhör i slutändan de troende,"Победа, в конечном счете, принадлежит верующим",অবশেষে বিজয় বিশ্বাসীদেরই।,"La victoria, en última instancia, pertenece a los creyentes",آخرکار فتح مومنوں کی ہوتی ہے۔
1715,12:111,The Quran is All We Need,12,111,"Kuran, İhtiyacımız Olan Her Şeydir",Le Coran est tout ce dont nous avons besoin,"Der Koran ist alles, was wir brauchen",Al-Quran adalah segala yang kita perlukan,قرآن کافی است,நமக்கு வேண்டியதெல்லாம் குர்ஆன்தான்,Koranen är allt vi behöver,"Коран - это все, что нам нужно",কুরআনই আমাদের সব প্রয়োজন,El Corán es todo lo que necesitamos,قرآن ہی ہماری تمام ضروریات کے لیے کافی ہے۔
1619,12:15,Believers are Blessed with God's Assurances,12,15,İmanlılar Tanrı'nın Güvenceleriyle Nimetlendirilirler,Les croyants bénéficient des assurances de Dieu,Gläubige sind mit Gottes Zusicherungen gesegnet,Orang percaya diberkati dengan jaminan-jaminan Tuhan,مؤمنان به وعده‌های خدا موهبت یافته‌اند,நம்பிக்கையாளர்கள் கடவுளின் உறுதிமொழிகள் கொண்டு ஆசீர்வதிக்கப்படுகின்றனர்,Troende är välsignade med Guds försäkringar,Верующие благословлены Божьими заверениями,বিশ্বাসীরা ঈশ্বরের আশ্বাস দ্বারা আশীর্বাদপ্রাপ্ত।,Los creyentes son bendecidos con las garantías de Dios,مومن اللہ کی ضمانتوں سے خوش نصیب ہیں
1623,12:19,Joseph is Taken to Egypt,12,19,Yusuf Mısır'a Alınıyor,Joseph est emmené en Égypte,Joseph wird nach Ägypten verschleppt,Yusuf dibawa ke Mesir,یوسف به مصر برده می‌شود,ஜோஸஃப் எகிப்திற்கு எடுத்துச் செல்லப்படுகின்றார்,Josef förs till Egypten,Иосифа забирают в Египет,যোসেফকে মিশরে নিয়ে যাওয়া হয়,José es llevado a Egipto,یوسف مصر لے جایا گیا
1627,12:23,God Protects the Believers From Sin,12,23,Tanrı İmanlıları Günah İşlemekten Korur,Dieu protège les croyants du péché,Gott beschützt die Gläubigen vor der Sünde,Tuhan melindungi orang-orang yang beriman daripada dosa,خداوند مؤمنان را از گناه محافظت می‌کند,பாவங்களிலிருந்து நம்பிக்கையாளர்களை கடவுள் பாதுகாக்கின்றார்,Gud skyddar de troende från synd,Бог защищает верующих от греха,ঈশ্বর বিশ্বাসীদের পাপ থেকে রক্ষা করেন,Dios protege a los creyentes del pecado,خدا مومنوں کو گناہ سے محفوظ رکھتا ہے۔
1647,12:43,The King's Dream,12,43,Kralın Rüyası,Le rêve du roi,Der Traum des Königs,Mimpi Raja,رویای پادشاه,மன்னரின் கனவு,Kungens dröm,Мечта короля,রাজা স্বপ্ন দেখলেন,El sueño del rey,بادشاہ کا خواب
1650,12:46,Joseph Interprets the King's Dream,12,46,Yusuf Kralın Rüyasını Yorumluyor,Joseph interprète le rêve du roi,Josef deutet den Traum des Königs,Yusuf Menafsirkan Mimpi Raja,یوسف تعبیر خواب پادشاه را بیان می‌کند,ஜோஸஃப் மன்னரின் கனவுக்கு விளக்கமளிக்கிறார்,Josef tolkar kungens dröm,Иосиф толкует сон царя,যোসেফ রাজার স্বপ্ন ব্যাখ্যা করেন,José interpreta el sueño del rey,یوسف بادشاہ کے خواب کی تعبیر کرتا ہے
1658,12:54,Joseph Attains Prominence,12,54,Yusuf Önem Kazanıyor,Joseph accède à la notoriété,Joseph erlangt Berühmtheit,Joseph Mencapai Ketenaran,جوزف به شهرت می‌رسد,ஜோஸஃப் முக்கியத்துவம் அடைகின்றார்,Joseph når en framträdande position,Джозеф достигает известности,জোসেফ খ্যাতি অর্জন করেন,Joseph alcanza la prominencia,یوسف کو شہرت حاصل ہوتی ہے۔
