index,verse_index,verse_id,word_index,root_word,arabic,english,transliterated,meanings,chapter_number,verse_number
83,15,2:7,3,ع ل ي,عَلَىٰ,over,ʿalā,on; upon; at; under; against; provided; so that; in respect; before; according to; for the sake of; to; above; in spite of; near; as,2,7
84,15,2:7,4,ق ل ب,قُلُوبِهِمْ,their hearts / minds,qulūbihim,"to turn; return; turn a thing upside down; change; change direction; turn into its face and back; turn inside out; change condition; heart; mind; time or place where anyone is busily employed; to wring hands in anguish or repentance; place of turmoil; resort; ",2,7
85,15,2:7,5,ع ل ي,وَعَلَىٰ,and over,waʿalā,on; upon; at; under; against; provided; so that; in respect; before; according to; for the sake of; to; above; in spite of; near; as,2,7
86,15,2:7,6,س م ع,سَمْعِهِمْ,"their hearing,",samʿihim,to hear; listen,2,7
87,15,2:7,7,ع ل ي,وَعَلَىٰٓ,and over,waʿalā,on; upon; at; under; against; provided; so that; in respect; before; according to; for the sake of; to; above; in spite of; near; as,2,7
88,15,2:7,8,ب ص ر,أَبْصَـٰرِهِمْ,their eyes (is),abṣārihim,"Becoming perceptive, mental perception, having belief or knowledge, understanding, intelligence or skill, knowing, giving light, shining, illuminated, making manifest, evident and/or apparent. To behold/perceive/see/observe/watch. Opening the eyes and/or seeing (seldom used unless mental perception is conjoined); Clear sight; Thickness of anything; Sense of sight, making or causing to see and/or have sight, eye-sight, eyes; Soft stones having some whiteness
Intent or a hard glance; A watcher or guard, a lion.",2,7
89,15,2:7,9,غ ش ي,غِشَـٰوَةٌ,a veil.,ghishāwatun,to cover; conceal; come upon; thing that covers; overwhelming; veil,2,7
90,15,2:7,10,ل,وَلَهُمْ,And for them (is),walahum,"a preposition denoting possession or attribution; to; for; unto; on account of; in order to; belonging to; ",2,7
91,15,2:7,11,ع ذ ب,عَذَابٌ,a retribution,ʿadhābun,"punishment; retribution; chastisement; pain; abstaining from; exemplary punishment; averting anyone from striking punishment; prohibition; refusal; hinderance; obstacle; fresh; sweet and palatable water; fresh; sweet; palatable; digestible; easily swallowed; to deny; hinder; prevent; to be overspread with rubbish; diffuse and green mass (on top of stagnant water)...(as water averts thirst, punishment hinders and prevents committing crimes and foolish acts)",2,7
92,15,2:7,12,ع ظ م,عَظِيمٌ,great / severe.,ʿaẓīmun,great; important; big; regard; honor; exalt; Great; Greater; Supreme; Big; bone,2,7
93,16,2:8,1,م ن,وَمِنَ,And among,wamina,مَن = he; she; they; who; whosoever / مِن = (preposition used as a starting point or part of a whole or origin) from; of some; amongst; on; upon; from; of; relation; likeness; between; comparison; any; nor; will never be; cannot be,2,8
94,16,2:8,2,ن و س,ٱلنَّاسِ,the people,l-nāsi,human being; to swing; halt in a place; move; toss; mankind; people,2,8
95,16,2:8,3,م ن,مَن,(are some) who,man,مَن = he; she; they; who; whosoever / مِن = (preposition used as a starting point or part of a whole or origin) from; of some; amongst; on; upon; from; of; relation; likeness; between; comparison; any; nor; will never be; cannot be,2,8
96,16,2:8,4,ق و ل,يَقُولُ,"[he] says,",yaqūlu,to say; speak; inspire; profess; grasp; point cut; relate; emit an opinion; thought; answer; reply; to fabricate lies,2,8
97,16,2:8,5,ا م ن,ءَامَنَّا,"""We believed",āmannā,to believe; trust; be secure; be in safety; confine in; security; place of security; trust; covenant; pledge; faith,2,8
98,16,2:8,6,ا ل ه,بِٱللَّهِ,in God,bil-lahi,to serve; worship or adore; to protect; grant refuge; preserve save; rescue; liberate; object of worship,2,8
99,16,2:8,7,ي و م,وَبِٱلْيَوْمِ,and in the Day,wabil-yawmi,to be one; exist for a day; spend; last a day; day; time; aeon; day and night; moment,2,8
100,16,2:8,8,ا خ ر,ٱلْـَٔاخِرِ,"the Last,""",l-ākhiri,to put back; put behind; postpone; Hereafter; Last abode; Next life; last one; latter; another; other; final; after; last; delayed; respite,2,8
101,16,2:8,9,م ا,وَمَا,while not,wamā,that; which; that which; whatsoever; as much as; any kind; when; how,2,8
102,16,2:8,10,ه م,هُم,they (are),hum,,2,8
103,16,2:8,11,ا م ن,بِمُؤْمِنِينَ,ever believers.,bimu'minīna,to believe; trust; be secure; be in safety; confine in; security; place of security; trust; covenant; pledge; faith,2,8
104,17,2:9,1,خ د ع,يُخَـٰدِعُونَ,They try to deceive,yukhādiʿūna,"to cover over; forsake; abandon; deceive; seek to deceive but without success, out wit; secretly connive",2,9
105,17,2:9,2,ا ل ه,ٱللَّهَ,God,l-laha,to serve; worship or adore; to protect; grant refuge; preserve save; rescue; liberate; object of worship,2,9
106,17,2:9,3,ا ل ل ذ,وَٱلَّذِينَ,and those who,wa-alladhīna,He; Him; Whose; Whom; Which; Those who,2,9
107,17,2:9,4,ا م ن,ءَامَنُوا۟,"[they] believed,",āmanū,to believe; trust; be secure; be in safety; confine in; security; place of security; trust; covenant; pledge; faith,2,9
108,17,2:9,5,م ا,وَمَا,and not,wamā,that; which; that which; whatsoever; as much as; any kind; when; how,2,9
109,17,2:9,6,خ د ع,يَخْدَعُونَ,they deceive,yakhdaʿūna,"to cover over; forsake; abandon; deceive; seek to deceive but without success, out wit; secretly connive",2,9
110,17,2:9,7,ا ل ل ا,إِلَّآ,except,illā,if not; unless; except; some; otherwise; less; but; and; also,2,9
111,17,2:9,8,ن ف س,أَنفُسَهُمْ,"themselves,",anfusahum,soul; person; self; spirit; mind; ego; inner desire; vital principle; blood; spirit; intention; pride; heart; life; spirit; core; breath; long discourse; aspiration,2,9
112,17,2:9,9,م ا,وَمَا,and not,wamā,that; which; that which; whatsoever; as much as; any kind; when; how,2,9
113,17,2:9,10,ش ع ر,يَشْعُرُونَ,they perceive / realize (it).,yashʿurūna,to know; perceive; understand; make verses; remark; poetry; verse; poet; feeling; knowledge; Sirius; galaxy; signs; rites; symbols; hairs,2,9
114,18,2:10,1,ف ي,فِى,In,fī,(preposition) in; into; amongst; in company with; during; with; of; for; for the sake of; upon; concerning; after; in comparison; about; among; on account of; respecting; by the side of; on; by; against; according to; in respect of,2,10
115,18,2:10,2,ق ل ب,قُلُوبِهِم,their hearts / minds (is),qulūbihim,"to turn; return; turn a thing upside down; change; change direction; turn into its face and back; turn inside out; change condition; heart; mind; time or place where anyone is busily employed; to wring hands in anguish or repentance; place of turmoil; resort; ",2,10
116,18,2:10,3,م ر ض,مَّرَضٌ,"a disease,",maraḍun,sick; ill; disease,2,10
117,18,2:10,4,ز ي د,فَزَادَهُمُ,so [He] augmented their,fazādahumu,to increase; add; exceed in number; give in surprise; augment,2,10
118,18,2:10,5,ا ل ه,ٱللَّهُ,God,l-lahu,to serve; worship or adore; to protect; grant refuge; preserve save; rescue; liberate; object of worship,2,10
119,18,2:10,6,م ر ض,مَرَضًا,disease;,maraḍan,sick; ill; disease,2,10
120,18,2:10,7,ل,وَلَهُمْ,and for them (is),walahum,"a preposition denoting possession or attribution; to; for; unto; on account of; in order to; belonging to; ",2,10
121,18,2:10,8,ع ذ ب,عَذَابٌ,a retribution,ʿadhābun,"punishment; retribution; chastisement; pain; abstaining from; exemplary punishment; averting anyone from striking punishment; prohibition; refusal; hinderance; obstacle; fresh; sweet and palatable water; fresh; sweet; palatable; digestible; easily swallowed; to deny; hinder; prevent; to be overspread with rubbish; diffuse and green mass (on top of stagnant water)...(as water averts thirst, punishment hinders and prevents committing crimes and foolish acts)",2,10
122,18,2:10,9,ا ل م,أَلِيمٌۢ,painful,alīmun,"in pain; suffered pain; express pain, grief, sorrow; lament",2,10
123,18,2:10,10,ب م ا,بِمَا,because,bimā,,2,10
124,18,2:10,11,ك و ن,كَانُوا۟,they used to,kānū,"to be; exist; happen; occur; take place; become; be such or so; to be something; used to; beyond doubt; was; existed; happened; occurred; took place; were used to; is ever; is; worthy of; would be; are; Be!; side; place; abode; purpose; status; way; condition; intention; ability; place of existence or being; greatness; high rank; high standing; honorable position; certainly shall be; may be; ",2,10
125,18,2:10,12,ك ذ ب,يَكْذِبُونَ,[they] lie.,yakdhibūna,"to lie; falsely invent; fabricate; say falsehood; be wrong; be cut off; deceive; disappoint the expectation of; victim of falsehood; false promises; ",2,10
126,19,2:11,1,ا ذ ا,وَإِذَا,And when,wa-idhā,when (future particle); if; behold; then; at a time; as; while; since; on or all of a sudden; in that case; for that reason; thus,2,11
127,19,2:11,2,ق و ل,قِيلَ,it was said,qīla,to say; speak; inspire; profess; grasp; point cut; relate; emit an opinion; thought; answer; reply; to fabricate lies,2,11
128,19,2:11,3,ل,لَهُمْ,"to them,",lahum,"a preposition denoting possession or attribution; to; for; unto; on account of; in order to; belonging to; ",2,11
129,19,2:11,4,ل ا,لَا,"""(Do) not",lā,no; not; [present tense],2,11
130,19,2:11,5,ف س د,تُفْسِدُوا۟,[you all] spread corruption / commit evil,tuf'sidū,to become evil; corrupted; invalid; decomposed; bad; spoiled; tainted; vicious; wrong; make mischief or foul deal; violence; make trouble / فَسَادًا = corruption; chaos; disorder; lawlessness; chaos; evil; trouble,2,11
131,19,2:11,6,ف ي,فِى,in,fī,(preposition) in; into; amongst; in company with; during; with; of; for; for the sake of; upon; concerning; after; in comparison; about; among; on account of; respecting; by the side of; on; by; against; according to; in respect of,2,11
132,19,2:11,7,ا ر ض,ٱلْأَرْضِ,"the earth,""",l-arḍi,to rotate; bring forth herbs; that which rotates; earth; land; city; country; ground,2,11
133,19,2:11,8,ق و ل,قَالُوٓا۟,"they said,",qālū,to say; speak; inspire; profess; grasp; point cut; relate; emit an opinion; thought; answer; reply; to fabricate lies,2,11
134,19,2:11,9,ا ن ن م,إِنَّمَا,"""Indeed, that / only",innamā,,2,11
135,19,2:11,10,ن ح ن,نَحْنُ,we (are),naḥnu,,2,11
136,19,2:11,11,ص ل ح,مُصْلِحُونَ,"peace-makers / reformers / righteous [ones].""",muṣ'liḥūna,to be right; good; honest; upright; sound; righteous; suit; fit; set right; reform; do good; free from blemish; perfect; good works; reconciliation; reformation; amendment; reformer; righteous; a person of integrity; peacemaker; suitable,2,11
137,20,2:12,1,ل ا,أَلَآ,No doubt,alā,no; not; [present tense],2,12
138,20,2:12,2,ا ن ن,إِنَّهُمْ,indeed [they],innahum,,2,12
139,20,2:12,3,ه م,هُمُ,they (are),humu,,2,12
140,20,2:12,4,ف س د,ٱلْمُفْسِدُونَ,"the spreaders of corruption / troublemakers / evildoers,",l-muf'sidūna,to become evil; corrupted; invalid; decomposed; bad; spoiled; tainted; vicious; wrong; make mischief or foul deal; violence; make trouble / فَسَادًا = corruption; chaos; disorder; lawlessness; chaos; evil; trouble,2,12
141,20,2:12,5,ل ك ن,وَلَـٰكِن,but,walākin,but (after a negation); but not (after an affirmation),2,12
142,20,2:12,6,ل ا,لَّا,not,lā,no; not; [present tense],2,12
143,20,2:12,7,ش ع ر,يَشْعُرُونَ,they perceive / realize (it).,yashʿurūna,to know; perceive; understand; make verses; remark; poetry; verse; poet; feeling; knowledge; Sirius; galaxy; signs; rites; symbols; hairs,2,12
144,21,2:13,1,ا ذ ا,وَإِذَا,And when,wa-idhā,when (future particle); if; behold; then; at a time; as; while; since; on or all of a sudden; in that case; for that reason; thus,2,13
145,21,2:13,2,ق و ل,قِيلَ,it was said,qīla,to say; speak; inspire; profess; grasp; point cut; relate; emit an opinion; thought; answer; reply; to fabricate lies,2,13
146,21,2:13,3,ل,لَهُمْ,"to them,",lahum,"a preposition denoting possession or attribution; to; for; unto; on account of; in order to; belonging to; ",2,13
